Pitcher Name,Pitch Type,PitcherThrows,RelSpeed,SpinRate,RelHeight,RelSide,Vertical Approach Angle (°),Extension,InducedVertBreak,Horizontal Break (in),ABS_Horizontal,ABS_RelSide,differential_break,Stuff+
"#19, Arias",Fastball,Undefined,89.45,2092.45,6.78,0.59,-5.73,5.76,19.43,8.92,8.92,0.59,10.51,63.621002723028965
"#19, Arias",Slider,Undefined,78.53,2158.89,6.37,1.39,-7.97,5.38,7.56,-8.7,8.7,1.39,1.1399999999999997,92.45509666602325
"#43, Quinn",ChangeUp,Undefined,77.03,1623.06,6.62,2.01,-8.39,5.57,4.61,3.77,3.77,2.01,0.8400000000000003,83.0350101496048
"#43, Quinn",Fastball,Undefined,85.13,2224.76,6.52,1.92,-6.11,6.29,19.94,9.67,9.67,1.92,10.270000000000001,72.43908373721189
"#43, Quinn",Slider,Undefined,73.35,2702.46,6.53,2.11,-12.39,5.16,-14.51,-9.19,9.19,2.11,23.7,50.46968006553543
", ",ChangeUp,Undefined,79.06,1684.25,5.56,1.58,-7.69,5.96,11.37,7.08,7.08,1.58,4.289999999999999,72.55851171071583
", ",Curveball,Undefined,74.79,2403.37,5.64,1.2,-8.92,5.14,-9.43,-11.44,11.44,1.2,20.869999999999997,81.70722959496592
", ",Fastball,Undefined,86.04,2135.21,5.52,1.11,-5.52,5.7,13.24,7.06,7.06,1.11,6.180000000000001,68.4666842294535
", ",Slider,Undefined,76.08,2270.37,5.05,1.21,-7.85,5.58,1.57,-2.24,2.24,1.21,0.6700000000000002,50.944584996214594
", 45",Fastball,Undefined,85.52,1982.22,5.78,1.31,-5.84,6.12,,,,1.31,,87.55115548069192
", 45",Slider,Undefined,78.11,2080.18,5.37,1.9,-7.44,5.48,,,,1.9,,57.975017481393124
", Blakely",ChangeUp,Undefined,83.52,1891.57,5.57,1.68,-7.33,6.02,,,,1.68,,89.95901141125125
", Blakely",Curveball,Undefined,82.41,2358.05,5.95,1.55,-5.45,5.7,,,,1.55,,101.25094273626378
", Blakely",Cutter,Undefined,82.83,2213.88,5.65,1.51,-6.86,5.7,,,,1.51,,66.59832730235958
", Blakely",Fastball,Undefined,86.6,2258.29,5.7,1.57,-6.06,6.06,,,,1.57,,179.43422268512663
", Blakely",FourSeamFastBall,Undefined,87.98,2304.26,5.77,1.32,-4.66,5.69,,,,1.32,,
", Blakely",Slider,Undefined,73.35,2365.99,4.76,2.81,-8.21,5.07,,,,2.81,,26.746158464923326
", gold",ChangeUp,Undefined,77.81,2106.11,5.24,-1.85,-7.49,5.57,,,,1.85,,75.07249668595148
", gold",Curveball,Undefined,75.22,2255.76,5.54,-1.29,-8.75,5.29,,,,1.29,,47.46600100790023
", gold",Fastball,Undefined,85.09,2145.9,5.6,-0.54,-5.85,5.81,,,,0.54,,156.1538403332251
", gold",Slider,Undefined,75.66,2148.62,5.28,1.65,-8.32,5.44,,,,1.65,,42.60110230573093
"ACKER, Trey",Curveball,Right,70.06,2076.45,5.37,1.15,-8.94,4.88,-0.54,-10.38,10.38,1.15,10.920000000000002,70.28084931500139
"ACKER, Trey",Fastball,Right,78.73,1924.05,5.45,1.08,-6.5,5.71,14.06,13.24,13.24,1.08,0.8200000000000003,60.40971695534393
"ACKER, Trey",Slider,Right,68.0,1943.73,5.47,1.17,-7.94,4.98,-1.46,-10.66,10.66,1.17,12.120000000000001,64.79824185905771
"ACKER, Trey",Splitter,Right,69.58,1134.93,5.35,1.11,-9.42,5.2,8.87,6.14,6.14,1.11,2.7299999999999995,
"Abadie, Connor",ChangeUp,Left,80.5,1861.7,5.33,-1.48,-7.61,4.19,8.4,-17.2,17.2,1.48,8.799999999999999,58.173754559512034
"Abadie, Connor",Curveball,Left,79.03,1784.06,5.15,-1.59,-6.1,4.11,12.31,-17.22,17.22,1.59,4.909999999999998,183.46484643785445
"Abadie, Connor",Fastball,Left,86.5,2192.2,5.74,-1.53,-5.92,4.96,13.81,-14.9,14.9,1.53,1.0899999999999999,65.19188985025212
"Abadie, Connor",Slider,Left,74.84,2351.96,5.36,-1.68,-8.78,4.42,-6.64,7.42,7.42,1.68,14.059999999999999,65.56235994681965
"Abbey, Zach",ChangeUp,Left,82.72,1810.06,5.6,-1.08,-6.31,7.0,15.23,-12.99,12.99,1.08,2.24,70.80494173384453
"Abbey, Zach",Fastball,Left,86.66,2042.98,5.83,-0.9,-5.5,6.39,23.97,-8.02,8.02,0.9,15.95,93.07296781185313
"Abbey, Zach",Slider,Left,74.63,2056.23,5.68,-1.1,-9.61,6.11,-1.72,16.31,16.31,1.1,18.029999999999998,63.197915119260614
"Abbot, Colby",ChangeUp,Right,78.13,1840.73,5.61,1.73,-9.11,4.87,3.97,20.12,20.12,1.73,16.150000000000002,90.71455537898291
"Abbot, Colby",Curveball,Right,80.07,2389.16,5.65,2.82,-10.54,5.26,-7.38,-0.43,0.43,2.82,7.81,89.43982406337929
"Abbot, Colby",Fastball,Right,84.95,1908.31,5.92,1.33,-6.79,4.97,10.56,17.42,17.42,1.33,6.860000000000001,77.87046091016533
"Abbot, Colby",Slider,Right,77.54,2266.75,5.68,1.57,-9.47,4.88,-4.23,0.89,0.89,1.57,5.12,62.85584669516887
"Abbott, Levi",Curveball,Right,76.49,2645.8,6.39,0.55,-10.5,4.57,-12.52,-9.22,9.22,0.55,21.740000000000002,61.86104346464126
"Abbott, Levi",Fastball,Right,88.26,2377.14,6.36,0.65,-6.86,5.31,10.16,-2.48,2.48,0.65,7.68,70.91503314084758
"Abel, Coleson",Curveball,Left,76.49,2566.92,5.97,-1.68,-10.47,4.74,-10.94,13.54,13.54,1.68,24.479999999999997,84.96345246700324
"Abel, Coleson",Fastball,Left,85.59,2334.74,6.05,-1.39,-6.58,5.29,15.68,-1.62,1.62,1.39,14.059999999999999,86.71019285150406
"Abel, Coleson",Slider,Left,77.26,2586.04,5.96,-1.44,-9.88,4.88,-7.77,16.91,16.91,1.44,24.68,66.6274337749589
"Abeldt, Benjamin",ChangeUp,Left,82.07,1386.44,4.75,-5.11,-7.24,5.41,1.07,-13.69,13.69,5.11,12.62,158.24478817639977
"Abeldt, Benjamin",Curveball,Left,80.24,2918.28,5.61,1.69,-9.16,5.34,-14.99,-12.02,12.02,1.69,27.009999999999998,166.46820845966187
"Abeldt, Benjamin",Cutter,Left,80.47,2564.54,4.58,-5.26,-4.17,4.83,7.58,0.36,0.36,5.26,7.22,123.03718547315232
"Abeldt, Benjamin",Fastball,Left,92.25,2251.05,5.18,-4.74,-4.95,5.7,11.47,-17.45,17.45,4.74,5.979999999999999,211.90510650293723
"Abeldt, Benjamin",Sinker,Left,91.97,2218.48,5.13,-4.62,-4.71,5.86,11.76,-17.76,17.76,4.62,6.000000000000002,174.67114508083577
"Abeldt, Benjamin",Slider,Left,80.43,2572.22,4.76,-5.06,-7.14,4.95,-0.14,4.28,4.28,5.06,4.42,88.69059870948053
"Abell, Mark",Curveball,Right,77.81,2668.64,5.35,1.69,-7.91,5.4,-3.53,-12.02,12.02,1.69,15.549999999999999,92.73620682696247
"Abell, Mark",Fastball,Right,88.41,2265.49,5.37,1.54,-5.1,6.2,16.35,13.63,13.63,1.54,2.7200000000000006,85.05966316854393
"Abell, Mark",FourSeamFastBall,Right,89.76,2384.5,5.36,1.44,-4.3,6.06,20.65,11.11,11.11,1.44,9.54,
"Abell, Mark",Slider,Right,76.73,2508.83,5.22,1.74,-7.77,5.55,4.91,-14.27,14.27,1.74,9.36,86.89812265373179
"Abendroth, Brennyn",ChangeUp,Right,77.17,1842.42,6.34,1.45,-7.98,6.28,12.56,13.86,13.86,1.45,1.299999999999999,68.21782893084598
"Abendroth, Brennyn",Fastball,Right,89.3,2188.18,6.7,0.94,-5.79,6.31,20.38,10.29,10.29,0.94,10.09,87.14340864310878
"Abendroth, Brennyn",Slider,Right,75.15,2369.93,6.34,1.36,-9.97,5.59,0.65,-8.78,8.78,1.36,8.129999999999999,52.775094097854826
"Abernathy, Ben",ChangeUp,Right,80.49,1737.26,5.32,2.15,-7.0,5.38,5.28,12.19,12.19,2.15,6.909999999999999,78.57339570023254
"Abernathy, Ben",Curveball,Right,79.53,2083.61,5.41,2.03,-7.95,5.04,-0.27,-9.04,9.04,2.03,9.309999999999999,115.90977036054284
"Abernathy, Ben",Fastball,Right,90.19,2259.12,5.62,2.08,-5.1,5.31,11.93,14.91,14.91,2.08,2.9800000000000004,93.84114656719116
"Abernathy, Ben",Sinker,Right,89.53,2204.73,5.59,1.94,-5.61,5.33,10.31,13.27,13.27,1.94,2.959999999999999,76.83976094930792
"Abernathy, Ben",Slider,Right,79.81,2168.23,5.36,2.1,-7.91,4.91,-0.49,-11.72,11.72,2.1,12.21,57.856048583559215
"Abernathy, Ben",TwoSeamFastBall,Right,88.47,2201.06,5.42,2.38,-4.67,5.43,9.89,18.06,18.06,2.38,8.169999999999998,
"Abernathy, Ben",Undefined,Right,86.65,2090.78,5.6,1.91,-6.06,5.17,7.48,5.93,5.93,1.91,1.5500000000000007,
"Abernathy, Jackson",ChangeUp,Right,79.25,1950.76,5.94,1.72,-8.1,5.25,10.92,14.34,14.34,1.72,3.42,77.58367607127404
"Abernathy, Jackson",Fastball,Right,86.88,2190.55,6.0,1.6,-5.23,5.34,16.42,8.93,8.93,1.6,7.490000000000002,60.60250893767451
"Abernathy, Jackson",Slider,Right,76.43,2292.14,5.97,1.56,-8.27,4.91,5.56,-9.7,9.7,1.56,4.14,71.13689001934145
"Abernathy, Jackson",Undefined,Right,85.62,1840.55,6.08,1.15,-6.08,5.51,13.92,9.29,9.29,1.15,4.630000000000001,
"Abler, Andrew",ChangeUp,Right,75.57,1751.63,5.9,1.6,-8.54,5.29,5.46,4.83,4.83,1.6,0.6299999999999999,82.29908447614947
"Abler, Andrew",Curveball,Right,74.49,2210.83,6.06,1.4,-10.47,4.96,-9.56,-10.92,10.92,1.4,20.48,80.24443224806804
"Abler, Andrew",Fastball,Right,87.83,2149.67,5.95,1.58,-5.45,5.19,16.38,11.71,11.71,1.58,4.669999999999998,71.68642876531322
"Abler, Andrew",FourSeamFastBall,Right,88.12,1995.66,6.15,1.38,-5.26,5.74,17.24,9.12,9.12,1.38,8.12,
